"idencuesta","ola","ponderadorlong_total","ponderadorlong_total_rs","ponderadorlong_panel","ponderadorlong_panel_rs"
3301241,6,342.816514822645,0.0688933297733606,425.395132137425,0.0650088761700497
3301252,6,46.0275777984969,0.0092498259530506,58.7116300006761,0.00897231020317061
3301253,6,75.7278321712677,0.015218469032905,105.251114365838,0.0160844733370341
4101031,6,190.309173226898,0.038245043815346,NA,NA
4101032,6,190.309173226898,0.038245043815346,271.89807770267,0.0415514591702878
4101034,6,108.6289217599,0.0218303605752515,138.564342656935,0.0211754002640044
4101044,6,221.985512135904,0.0446108061637553,275.458013790557,0.0420954885369332
4101053,6,192.234227818181,0.0386319079687769,246.259989593878,0.0376334470230241
4101055,6,288.751061286483,0.0580281906719375,391.844781019093,0.0598817121370377
4101057,6,133.301214512466,0.0267885709512796,170.035703798262,0.0259848530874525
4101065,6,547.605178368936,0.110048210945989,743.118415727677,0.113563342450561
4101111,6,749.641923166755,0.150650059118015,1071.02665845413,0.163674273996567
4101113,6,215.605249520539,0.0433286114111822,308.039028772122,0.0470745186395786
4101134,6,12166.9725449191,2.44510755940152,15586.3946098853,2.38191253397848
4101141,6,624.062844802546,0.125413349437165,774.388878155936,0.11834209393642
4102051,6,660.106239951343,0.132656727164817,842.015052167841,0.128676724589349
4102052,6,2634.72307693961,0.529481042927555,3360.78702913132,0.513595411195552
4102055,6,377.098611060519,0.0757827521299812,511.735340522296,0.0782033852072972
4102082,6,1089.073542059,0.21886315109215,1655.34332792094,0.252969536541301
4102083,6,510.395973951166,0.10257054904897,651.048371644579,0.0994932000286313
4102102,6,6246.6466951039,1.25534293750728,8962.93981499508,1.36971629558843
4106011,6,25.6475469649764,0.00515420008820168,32.7153710852416,0.0049995623999069
4106022,6,44.5262317287658,0.00894811140484852,56.796550407852,0.00867964777546451
4106023,6,64.2903915510534,0.012919970173189,82.3586482700837,0.0125860470946642
4106025,6,65.7660667430934,0.0132165258326974,81.6079839876165,0.0124713305929991
4106032,6,32.6151081755051,0.00655441994762521,41.7813013377602,0.00638501769223942
4106062,6,13.0141677216479,0.00261536218299507,16.600547684373,0.00253689538793259
4106063,6,27.5603398347809,0.00553860009307237,35.3059342134231,0.00539545220890508
4106065,6,22.6424286361152,0.00455028341824396,31.4698146978554,0.00480921649598563
4106071,6,22.1121355183034,0.00444371428559627,31.5919986377087,0.00482788864339827
4106083,6,46.1441390717143,0.00927325042033077,58.8603126529657,0.00899503188332421
4106094,6,125.341089401719,0.0251888827782181,179.077028645664,0.0273665481822335
4106102,6,28.3688973046716,0.00570108997907658,NA,NA
4106103,6,44.5730027853569,0.00895751064230138,55.309874494956,0.00845245399014581
4106112,6,51.3912354741049,0.0103277210399552,69.7396134959033,0.0106576064355097
4204021,6,25.899578926773,0.0052048491097824,37.0031859426041,0.00565482618654638
4204023,6,22.4487114247261,0.00451135348590418,27.8562208934909,0.00425698715810758
4204071,6,62.5636411186417,0.0125729577574133,NA,NA
4204081,6,63.4179105616567,0.0127446340446055,78.6941972652985,0.0120260457603651
4204093,6,72.0496147073634,0.0144792845486044,91.9046911160319,0.0140448731845823
4204103,6,59.7442237551064,0.0120063600534046,85.3576278926091,0.0130443511047211
4204112,6,60.0374862889835,0.0120652948817544,NA,NA
4301012,6,330.231438336498,0.0663641989202811,NA,NA
4301022,6,293.827722990068,0.0590484102756337,398.733979571945,0.0609345193315699
4301023,6,391.561095382891,0.078689171916317,501.605943794564,0.0766554109880301
4301043,6,107.936980455864,0.0216913061878995,NA,NA
4301061,6,380.785861288892,0.0765237518629481,544.035486809482,0.083139492961299
4301071,6,116.455575055482,0.023403225892995,161.856990980318,0.0247349823469469
4301081,6,235.187049655329,0.0472638226857617,291.83957522262,0.0445989184498665
4301082,6,275.192382547564,0.055303402088941,373.445203619483,0.0570698890615305
4301083,6,131.703382633698,0.0264674663551275,163.428468104556,0.0249751354518034
4301091,6,337.077526892184,0.0677400073079504,512.342843329158,0.0782962237749269
4301092,6,629.802093670767,0.12656672434133,854.662359959055,0.13060948593044
4301122,6,500.316291907699,0.10054490900829,640.925844669919,0.0979462756449008
4301141,6,311.829214672532,0.0626660385090168,423.162601703774,0.064667700910761
4301143,6,451.811831215842,0.0907973220005525,613.12366186927,0.0936975465871348
4301164,6,257.251613961132,0.0516979769324195,349.098984745885,0.0533493003467274
4301171,6,107.718215719132,0.0216473426374322,153.898917697857,0.0235188297361441
4301173,6,1102.82222365051,0.221626123159941,1558.57581538754,0.238181527078289
4301182,6,793.993435897491,0.159563058522629,1077.47546496866,0.164659780488006
4301191,6,127.911361528469,0.0257054115846762,NA,NA
4301201,6,197.421266953984,0.0396743093184174,251.825643104893,0.0384839900889145
4301202,6,148.383151307023,0.0298194775741589,NA,NA
4301211,6,242.079053343052,0.0486488583019809,300.391744364609,0.0459058607788569
4301213,6,184.20765875876,0.037018867040905,234.970694127822,0.03590821710017
4301221,6,314.484949999721,0.0631997422303251,390.238979383983,0.0596363135610691
4301223,6,364.480448321361,0.0732469721744196,494.612074573558,0.0755866080239403
4301233,6,173.378858569099,0.0348426822007372,215.142851239224,0.0328781265192378
4301251,6,262.475209890074,0.0527477248336299,325.700985122467,0.0497736184800758
5101014,6,81873.6046027664,16.4535400068174,129600.516561688,19.8055485270845
5101021,6,12429.2705306382,2.49781966878862,18891.9381926382,2.88706564272741
5101035,6,1250.35227335984,0.251274159140248,1594.91816765566,0.24373536467501
5101044,6,3222.43873748729,0.64758996436043,NA,NA
5101053,6,1143.3436406762,0.229769416220017,1633.51525721143,0.249633771182033
5101055,6,5783.35993674235,1.16223958325392,8298.19734836361,1.26813036421896
5101062,6,4730.20053359007,0.950593834207022,7189.69435085419,1.09872895678598
5101068,6,7019.05351936664,1.4105678924388,NA,NA
5101072,6,11604.2413562163,2.33201958469554,17637.9305554337,2.69542821896632
5101075,6,4564.33895902226,0.917261845637741,5822.15691064536,0.889741910644314
5101087,6,6314.12532079325,1.26890362379648,NA,NA
5101092,6,14384.4323113362,2.890734244061,NA,NA
5101094,6,3654.6240645304,0.734443091242582,4534.96030565453,0.693032549444279
5101095,6,1929.92440945333,0.387842805201237,2461.76343133132,0.376206641724508
5101103,6,1536.04617248894,0.308687974274332,2194.5763017127,0.335375109552682
5101105,6,6627.83759195734,1.33194808640774,9469.30865192782,1.44709957181712
5101111,6,6573.21951407434,1.32097189042976,NA,NA
5101112,6,1385.05965424981,0.278345317072531,1766.74754220577,0.269994326493352
5101117,6,4744.89652621106,0.953547180449716,6438.98218759018,0.98400513797835
5101125,6,9740.39072874077,1.95745514460902,12086.6837563717,1.84708678652835
5101126,6,8052.05810825832,1.61816327574969,10926.9103016495,1.66985022877904
5101131,6,4128.13858035277,0.829601843171148,5265.75058940214,0.804711906995264
5101136,6,2045.66697966226,0.411102743720669,2609.40176648734,0.398768729353216
5101137,6,20621.6417449501,4.14418064409159,NA,NA
5101141,6,3808.64291337479,0.76539513376667,NA,NA
5101151,6,2846.3116113291,0.572002444451919,3531.93924928627,0.539750890291837
5101152,6,12774.9796568747,2.56729430553941,NA,NA
5101153,6,1612.06920434744,0.323965767431141,2000.38902021051,0.30569941281035
5101154,6,14997.5805896415,3.01395417282993,19212.5204853304,2.93605702272563
5101162,6,4146.72922413283,0.833337868996221,5289.46435083159,0.808335843575233
5101174,6,6052.39822468245,1.21630624192206,7720.28818765929,1.17981429704396
5101182,6,50967.4608606237,10.2425581527143,80678.1292630578,12.329230211311
5101196,6,11600.3639328841,2.33124036726364,16394.3437915491,2.50538331287189
5101197,6,13687.7580096301,2.75072870075487,19344.3767664291,2.95620729714725
5101203,6,11682.2381231328,2.34769402496343,NA,NA
5101207,6,1049.65899900572,0.210942298405572,1344.65655313347,0.205490389404973
5101215,6,1898.00907673144,0.381429014012755,2575.6613594095,0.393612520972012
5101222,6,6687.99794272204,1.34403807246532,9555.26080783014,1.46023477868121
5101224,6,1983.76495891965,0.398662746975284,2692.03493991663,0.411396729377597
5101226,6,3934.055899861,0.790598465176555,5039.68817601938,0.770165053192634
5101243,6,257.198781476622,0.0516873595740929,NA,NA
5101252,6,353.8602172396,0.0711127019436999,500.096901195745,0.0764247991261852
5101261,6,29.6063128412031,0.00594976433675461,40.1767498978436,0.00613981017107692
5101291,6,24.4315436324194,0.0049098287846818,34.905777983932,0.00533430034136736
5101341,6,297.849781203074,0.0598566939225857,381.557877866485,0.0583096677888548
5101343,6,110.374313923777,0.022181119283571,153.404887011278,0.0234433319758227
5101362,6,165.732493219027,0.0333060480339072,230.345027683886,0.035201322840363
5101373,6,381.539702519286,0.0766752458261522,NA,NA
5101393,6,38.2767550500625,0.00769219974621802,48.8248738607132,0.00746141631400713
5101402,6,303.842315382487,0.0610609697248003,NA,NA
5101403,6,560.361564962613,0.11261176873949,804.029301886557,0.122871742938866
5101404,6,32.9035731508761,0.00661239064570136,41.9709770736079,0.00641400393465885
5101411,6,243.016336860608,0.0488372173210892,348.689610227103,0.0532867397403919
5101422,6,35.2396030263426,0.00708184549869815,47.8213117885547,0.00730805197683169
5101443,6,48.1850415369379,0.00968339567440249,68.8428200583712,0.0105205584790892
5101462,6,18.4665336358808,0.00371108431636022,22.9148047906028,0.00350184004130051
5101463,6,28.6443417914064,0.00575644404470173,36.6945855144329,0.0056076658748611
5101465,6,37.390298004484,0.0075140549517569,53.4201792786323,0.00816367080238372
5101472,6,352.745209344935,0.0708886269552859,478.686965497122,0.0731529331514922
5101482,6,1078.00816427163,0.216639422981015,1375.08032153043,0.210139749124739
5101484,6,1442.09526556536,0.289807347077766,1956.97117450069,0.299064298437653
5101485,6,963.356739926544,0.193598764072042,1338.93137439606,0.204615467696956
5101491,6,2269.53708559472,0.456092282927615,2894.96488878025,0.442408480383266
5101492,6,7673.38689571911,1.54206448939268,9787.98089801303,1.49579905852844
5101493,6,2144.1230843363,0.430888747586376,NA,NA
5101494,6,21290.7902174564,4.27865452265478,33701.9167969509,5.15032629719541
5101495,6,1691.77635136162,0.339983930288267,2351.33293972914,0.359330656054686
5101497,6,1035.25532703195,0.20804769770715,NA,NA
5101501,6,3180.47231011663,0.63915627813107,4543.99697420922,0.694413532964494
5101503,6,10125.3739356589,2.03482240635001,NA,NA
5101504,6,34003.9903342338,6.83353344548904,NA,NA
5101507,6,7443.26053418099,1.49581767621569,10634.3178143655,1.62513625032198
5101513,6,3858.78369529993,0.775471560294867,5236.4976438465,0.800241472400302
5101515,6,6639.96578131184,1.33438539999278,9010.65411140084,1.37700799347645
5101521,6,8824.84721250499,1.77346505469598,12608.2151081551,1.92678719799411
5101523,6,15915.7350848352,3.19846897210381,24191.2091921996,3.69690013817888
5101524,6,5054.04436956384,1.01567436335934,NA,NA
5101525,6,6196.69935668427,1.24530538590675,7938.22794417639,1.21311984657567
5101527,6,12833.9251911898,2.57914015881266,NA,NA
5101528,6,11152.6950415742,2.24127562162049,NA,NA
5101531,6,9964.07576726462,2.00240749217128,14081.8412800404,2.15198672213461
5101536,6,17494.8147801488,3.51580507898283,24724.7422352139,3.77843464787502
