Area,Sexo,Edad,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024,a2025,a2026,a2027,a2028,a2029,a2030,a2031,a2032,a2033,a2034,a2035
2,1,97,58,62,64,70,73,80,84,94,101,108,116,124,133,143,152,163,177,194,215,237,267,297,330,363,397,428,451,484,516,559,603,655,711,792
2,1,98,37,40,42,46,52,53,60,65,74,80,88,94,102,112,121,131,144,154,169,190,210,238,267,300,334,363,399,421,454,487,534,585,634,698
2,1,99,22,25,28,30,34,37,41,45,52,56,63,70,77,86,93,102,108,117,129,142,157,179,204,233,260,291,325,358,381,413,452,496,553,606
2,1,100,33,35,40,44,46,51,55,57,60,62,67,71,77,78,80,78,82,86,91,94,101,109,122,135,152,173,196,217,244,266,297,325,361,395
2,2,0,15746,14888,14416,14009,13789,13794,14042,14288,14123,13940,13495,13142,13048,13124,12732,11941,11460,11380,11403,11373,11288,11174,11045,10909,10769,10623,10475,10327,10184,10115,9995,9874,9761,9652
2,2,1,16399,15815,14940,14447,14020,13780,13771,13993,14218,14034,13823,13323,12935,12800,12835,12429,11744,11292,11213,11192,11147,11059,10948,10825,10694,10557,10416,10274,10131,9989,9924,9805,9692,9581
2,2,2,17035,16528,15959,15084,14596,14175,13947,13945,14190,14429,14249,14013,13498,13096,12954,13000,12706,12045,11588,11463,11429,11379,11294,11185,11065,10930,10795,10652,10513,10366,10225,10157,10041,9926
2,2,3,17295,16678,16235,15717,14906,14470,14105,13927,13984,14280,14570,14419,14217,13736,13375,13290,13459,13185,12511,11997,11851,11814,11771,11683,11569,11450,11316,11177,11035,10892,10748,10599,10538,10417
2,2,4,17595,17097,16496,16067,15566,14777,14361,14011,13854,13924,14227,14499,14341,14136,13663,13317,13302,13496,13227,12515,11986,11837,11800,11758,11676,11567,11445,11320,11186,11043,10903,10759,10618,10553
2,2,5,18235,17647,17164,16578,16160,15670,14900,14500,14164,14023,14107,14398,14661,14499,14292,13835,13555,13567,13766,13458,12722,12188,12037,12002,11965,11884,11775,11655,11530,11394,11254,11112,10969,10830
2,2,6,18708,18049,17450,16958,16362,15938,15443,14675,14272,13933,13777,13818,14060,14282,14095,13880,13510,13259,13271,13428,13110,12389,11873,11733,11703,11663,11586,11483,11371,11248,11118,10984,10848,10710
2,2,7,19051,18392,17771,17209,16753,16196,15807,15357,14636,14270,13962,13814,13868,14127,14370,14225,14111,13750,13501,13481,13622,13301,12578,12059,11918,11889,11852,11775,11678,11566,11441,11313,11181,11043
2,2,8,19806,19118,18464,17848,17291,16842,16299,15923,15480,14773,14410,14077,13919,13963,14214,14467,14400,14300,13940,13659,13624,13762,13442,12720,12197,12059,12031,11998,11926,11823,11714,11594,11468,11331
2,2,9,20097,19499,18850,18234,17658,17143,16731,16229,15893,15495,14817,14459,14142,13998,14065,14355,14693,14639,14541,14149,13850,13819,13961,13644,12913,12389,12251,12225,12195,12125,12027,11915,11794,11666
2,2,10,20705,19850,19281,18665,18078,17531,17049,16671,16202,15901,15527,14852,14502,14191,14061,14153,14510,14861,14811,14687,14283,13985,13956,14105,13787,13054,12530,12394,12373,12344,12276,12176,12069,11948
2,2,11,20656,19911,19135,18630,18076,17554,17075,16658,16343,15940,15686,15339,14706,14389,14113,14032,14173,14534,14891,14815,14684,14277,13979,13956,14107,13797,13071,12546,12413,12394,12368,12303,12207,12101
2,2,12,19687,19738,19082,18389,17965,17492,17051,16648,16306,16066,15724,15510,15211,14628,14357,14143,14075,14226,14589,14920,14836,14699,14297,14009,13984,14141,13831,13110,12588,12461,12446,12419,12357,12266
2,2,13,19474,19426,19491,18851,18178,17768,17316,16893,16506,16188,15952,15597,15376,15070,14493,14234,13989,13933,14086,14417,14735,14649,14517,14125,13839,13820,13982,13676,12965,12455,12330,12318,12298,12235
2,2,14,17926,18620,18582,18647,18038,17403,17018,16599,16209,15851,15550,15306,14957,14736,14436,13894,13630,13397,13342,13467,13775,14072,13997,13877,13506,13240,13222,13378,13090,12413,11928,11808,11797,11779
2,2,15,15889,16420,17140,17188,17337,16859,16353,16091,15787,15509,15250,15019,14848,14570,14421,14213,13664,13402,13180,13106,13222,13522,13818,13749,13631,13268,13006,12991,13148,12872,12205,11732,11615,11608
2,2,16,15856,16028,16498,17156,17138,17217,16665,16098,15771,15405,15057,14704,14392,14137,13789,13582,13317,12797,12554,12321,12243,12349,12635,12915,12854,12748,12411,12167,12158,12308,12048,11425,10979,10870
2,2,17,15411,15307,15478,15938,16590,16583,16671,16148,15610,15306,14952,14591,14227,13906,13649,13321,13149,12875,12379,12113,11873,11796,11901,12185,12459,12405,12302,11977,11750,11743,11893,11642,11037,10605
2,2,18,15080,14860,14755,14927,15386,16024,16024,16117,15617,15098,14794,14421,14043,13674,13348,13109,12847,12669,12410,11877,11604,11374,11297,11406,11689,11970,11913,11816,11502,11285,11287,11435,11192,10608
2,2,19,14623,14302,14101,14012,14191,14650,15291,15313,15435,14980,14491,14183,13819,13447,13095,12814,12664,12408,12238,11920,11374,11106,10883,10816,10920,11208,11479,11428,11341,11040,10832,10831,10981,10755
2,2,20,13949,13746,13442,13255,13176,13359,13811,14442,14494,14637,14217,13734,13436,13081,12732,12429,12252,12104,11862,11617,11274,10746,10487,10284,10218,10323,10600,10862,10819,10742,10455,10257,10256,10403
2,2,21,14170,14120,13897,13575,13367,13275,13442,13887,14516,14557,14681,14203,13676,13336,12952,12605,12407,12224,12081,11753,11464,11121,10600,10346,10145,10081,10190,10471,10733,10697,10623,10341,10149,10158
2,2,22,13866,13847,13804,13582,13267,13064,12981,13157,13603,14234,14283,14370,13881,13345,13008,12659,12457,12263,12084,11846,11474,11187,10849,10335,10093,9899,9842,9954,10231,10493,10461,10392,10123,9935
2,2,23,13935,13805,13805,13772,13570,13276,13095,13031,13232,13718,14374,14406,14497,14002,13475,13182,12978,12798,12601,12308,12007,11621,11333,10996,10473,10232,10038,9988,10099,10383,10657,10629,10559,10282
2,2,24,14403,14145,13994,13971,13921,13696,13379,13178,13094,13285,13737,14330,14313,14346,13820,13305,13151,12998,12818,12501,12146,11838,11458,11179,10845,10335,10097,9910,9861,9972,10258,10529,10504,10438
