"idencuesta","ola","muestra","segmento_disenno","estrato_disenno","m0_sexo","tramo_etario","tipo_atricion","pd_diseno","pd_nr","pd_atricion","pd_modelob","pd_atricion_trm","pd_nr_trm","pd_modelob_trm","ponderadorlong_total","ponderadorlong_modelob","ponderadorlong_nr","ponderadorlong_panel"
5101495,6,1,510149,2,"Hombre","50 a 59",1,524.403198242188,611.8037109375,858.721825371629,858.721825371628,858.721825371629,611.8037109375,858.721825371628,0.373478341211723,0.373291042966032,0.302591642901487,0.413534383649977
5101497,6,1,510149,2,"Mujer","60 o más",2,524.403198242188,611.8037109375,774.010305831691,774.010305831691,774.010305831691,611.8037109375,774.010305831691,0.21390025973303,0.213831884018673,0.178028697373679,NA
5101501,6,1,510150,2,"Hombre","60 o más",1,611.803649902344,1070.65637207031,1038.41352595188,1038.41352595188,1038.41352595188,1070.65637207031,1038.41352595188,0.483219075626378,0.483071681116819,0.594913449427069,0.540263144740392
5101503,6,1,510150,2,"Hombre","60 o más",2,1835.41101074219,3211.96923828125,3305.90056285505,3305.90056285504,3305.90056285505,3211.96923828125,3305.90056285504,1.53837962831925,1.53791038212789,1.78474041610995,NA
5101504,6,1,510150,2,"Hombre","18 a 29",2,1835.41101074219,3211.96923828125,4353.46784335064,4353.46784335064,4353.46784335064,3211.96923828125,4353.46784335064,6.43441754744853,6.42867718614514,6.14915293432146,NA
5101507,6,1,510150,2,"Hombre","60 o más",1,1223.60729980469,2141.31274414062,2430.19956227632,2430.19956227632,2430.19956227632,2141.31274414062,2430.19956227632,1.13087778300492,1.1305328355792,1.18982689885414,1.26437803923884
5101513,6,1,510151,2,"Mujer","40 a 49",1,847.112731933594,2117.78173828125,1299.49971293831,1299.49971293831,1299.49971293831,2117.78173828125,1299.49971293831,0.406205314448176,0.405959591760064,0.75942688471458,0.424975006671543
5101515,6,1,510151,2,"Mujer","40 a 49",1,1129.48364257812,2823.708984375,2236.10191917334,2236.10191917334,2236.10191917334,2823.708984375,2236.10191917334,0.69897397757955,0.698551152573126,1.01256917961944,0.731271749087374
5101521,6,1,510152,2,"Hombre","60 o más",1,2447.21508789062,2855.08422851562,4321.92445793745,4321.92445793745,4321.92445793745,2855.08422851562,4321.92445793745,2.01117983279076,2.01056637011919,1.58643618167296,2.24859985027188
5101523,6,1,510152,2,"Hombre","40 a 49",1,3670.82250976562,4282.6259765625,7523.43892074242,7523.43892074242,7523.43892074242,4282.6259765625,7523.43892074242,3.95999810216913,3.95766055031013,2.93251802021608,5.17348074896955
5101524,6,1,510152,2,"Hombre","60 o más",2,1223.60754394531,1427.54211425781,2475.19276496558,2475.19276496558,2475.19276496558,1427.54211425781,2475.19276496558,1.15181508136402,1.15146374751239,0.793218090836481,NA
5101525,6,1,510152,2,"Mujer","30 a 39",1,1835.41125488281,2141.31298828125,3618.75236013096,3618.75236013096,3618.75236013096,2141.31298828125,3618.75236013096,1.45157183103286,1.45074139485705,0.997772067161478,1.31630356901081
5101527,6,1,510152,2,"Mujer","40 a 49",2,5506.23388671875,6423.939453125,9261.43882319509,9261.43882319509,9261.43882319509,6423.939453125,9261.43882319509,2.89499538319413,2.89324413567883,2.30359542643007,NA
5101528,6,1,510152,2,"Hombre","40 a 49",2,2447.21508789062,2855.08422851562,5271.92838502455,5271.92838502455,5271.92838502455,2855.08422851562,5271.92838502455,2.77490475026128,2.77326674852741,1.9550121806521,NA
5101531,6,1,510153,2,"Mujer","18 a 29",1,2202.4931640625,2202.4931640625,3408.08020814637,3408.08020814637,3408.08020814637,2202.4931640625,3408.08020814637,2.99140035741522,2.98868787343408,2.20817105255273,3.46510512375474
5101536,6,1,510153,2,"Mujer","18 a 29",1,3670.82202148438,3670.82202148438,5983.86979285082,5983.86979285082,5983.86979285082,3670.82202148438,5983.86979285082,5.25226788802479,5.24750533844643,3.68028516917788,6.08399351327651
5103033,6,1,510303,2,"Hombre","40 a 49",1,3670.82202148438,4894.4296875,7063.29197388501,7063.29197388501,7063.29197388501,4894.4296875,7063.29197388501,3.71779755326184,3.71560297024494,3.35144916596124,4.85706143642611
5103038,6,1,510303,2,"Mujer","18 a 29",1,4404.986328125,5873.3154296875,7364.88105898453,7364.88105898453,7364.88105898453,5873.3154296875,7364.88105898453,6.46443348941883,6.45857179583316,5.88845646650061,7.48811223172818
5109013,6,1,510901,2,"Mujer","60 o más",1,734.164428710938,1468.32885742188,1217.89596229744,1217.89596229744,1217.89596229744,1468.32885742188,1217.89596229744,0.336569501336692,0.336461912967637,0.427268859488339,0.301346366977457
5109033,6,1,510903,2,"Hombre","60 o más",1,282.370941162109,423.556396484375,496.113700221713,496.113700221713,496.113700221713,423.556396484375,496.113700221713,0.230863329141407,0.230792909762515,0.235350391995678,0.258116772491843
5109051,6,1,510905,2,"Hombre","50 a 59",1,1468.32897949219,1468.32897949219,2637.14655068004,2637.14655068004,2637.14655068004,1468.32897949219,2637.14655068004,1.14695712881638,1.14638193332468,0.72621997918838,1.26996978673295
5109052,6,1,510905,2,"Mujer","30 a 39",1,2936.65795898438,2936.65795898438,5204.72857077894,5204.72857077893,5204.72857077894,2936.65795898438,5204.72857077893,2.08774644674532,2.0865520586081,1.36837318893486,1.89319470128122
5109096,6,1,510909,2,"Hombre","60 o más",2,1486.23522949219,4458.70556640625,2482.34620620539,2482.34620620539,2482.34620620539,4458.70556640625,2482.34620620539,1.15514388937457,1.15479154014907,2.47749322535785,NA
5109102,6,1,510910,2,"Hombre","50 a 59",2,2202.4931640625,3303.73974609375,3562.0278134047,3562.0278134047,3562.0278134047,3303.73974609375,3562.0278134047,1.54920976711484,1.54843284315548,1.63399472676878,NA
5109103,6,1,510910,2,"Mujer","50 a 59",1,2202.4931640625,3303.73974609375,3266.98314448395,3266.98314448395,3266.98314448395,3303.73974609375,3266.98314448395,0.84382162057542,0.843386099368863,0.855706590113991,0.748215638960008
5109113,6,1,510911,2,"Mujer","30 a 39",2,1468.32897949219,2447.21484375,2258.03247514526,2258.03247514526,2258.03247514526,2447.21484375,2258.03247514526,0.905753145915646,0.905234969575594,1.14031093389883,NA
